Last Name,First Name,ID,Age,Appearances this EPL Season,Appearances in last 5 matches,Goals Scored this EPL Season,Goals Assisted this EPL Season,Own Goals this EPL Season,Goals Scored in last 5 matches,Goals Assited in last 5 matches,Own Goals in last 5 matches,Goals Conceded this EPL Season,Clean Sheets this EPL Season,Goals Conceded in last 5 matches,Clean sheet occurences in last 5 matches,Substitution On this EPL Season,Substitution Off this EPL Season,Subs On in last 5 matches,Subs off in last 5 matches,First Yellow Card this EPL Season,Second Yellow Card this EPL Season,Red Cards this EPL Season,Yellow Cards in last 5 matches,Red Cards in last 5 matches,Penalty Goals this EPL Season,Penalty Goals in last 5 matches,Minutes Per Goal this EPL Season,Total Minutes Played this EPL Season,Total minutes in last 5 matches,Injury Status this EPL Season,Form this EPL Season,Form in last 5 matches,Country,Overall,Potential,Club Last Season,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
Pereira,Andreas,11,23,11,5,1,1,,1,,,,,,,1,7,2,3,,,,,,,,797,797,266,,3.8,,Brazil,78,84,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€14M,€91K,2100,Right,1,4,4,Medium/ Medium,Lean,Yes,CM,15,"Jan 1, 2013",,2019,5'10,157lbs,73+2,73+2,73+2,77+2,76+2,76+2,76+2,77+2,77+2,77+2,77+2,77+2,76+2,76+2,76+2,77+2,73+2,72+2,72+2,72+2,73+2,71+2,67+2,67+2,67+2,71+2,78,74,56,80,72,81,80,80,77,81,78,74,78,74,78,73,62,75,68,77,69,68,71,78,70,74,67,65,63,15,14,7,10,7,€28.7M
,Fred,12,26,5,5,,,,,,,,,,,3,,,1,2,,,2,,,,,508,423,,,,Brazil,82,84,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€26.5M,€140K,2180,Left,1,4,4,High/ High,Lean,No,CM,17,"Jun 21, 2018",,2023,5'7,141lbs,74+2,74+2,74+2,77+2,77+2,77+2,77+2,77+2,79+2,79+2,79+2,78+2,80+2,80+2,80+2,78+2,78+2,79+2,79+2,79+2,78+2,77+2,73+2,73+2,73+2,77+2,67,74,55,85,70,79,70,72,80,86,77,79,84,82,87,76,83,87,61,76,73,80,69,76,65,82,76,78,69,7,16,15,11,15,€51M
Lindelöf,Victor,13,25,11,4,,,,,,,,,,,,,0,,2,,,1,,,,,990,426,,1.8,,Sweden,79,85,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€14.5M,€91K,1943,Right,2,3,3,Medium/ Medium,Lean,Yes,CB,3,"Jul 1, 2017",,2021,6'2,176lbs,61+2,61+2,61+2,64+2,63+2,63+2,63+2,64+2,66+2,66+2,66+2,67+2,70+2,70+2,70+2,67+2,74+2,76+2,76+2,76+2,74+2,75+2,77+2,77+2,77+2,75+2,64,36,76,79,34,66,64,66,73,75,68,77,66,75,63,68,75,75,77,57,78,79,44,67,55,76,77,80,77,12,16,8,7,9,€29.7M
DeGea,David,14,29,12,3,,,,,,,12,2,3,,,,,,,,,,,,,,1080,270,,2.5,,Spain,91,93,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€72M,€260K,1471,Right,4,3,1,Medium/ Medium,Lean,Yes,GK,1,"Jul 1, 2011",,2020,6'4,168lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13,90,85,87,88,94,€138.6M
Romero,Sergio,15,32,0,2,,,,,,,,,2,1,,,,,,,,,,,,,,180,,,,Argentina,80,80,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€9M,€91K,1251,Right,3,3,1,Medium/ Medium,Normal,Yes,GK,1,"Jul 27, 2015",,2021,6'4,192lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14,12,39,17,12,12,13,48,40,47,44,52,78,44,14,63,35,75,11,33,21,11,55,16,62,14,11,15,78,76,81,77,82,€16.7M
Matic,Nemanja,16,31,3,,,,,,,,,,,,1,2,,,,,,,,,,,160,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,Brandon,17,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,Wales,53,71,Barnsley,https://cdn.sofifa.org/teams/2/light/1932.png,€110K,€1K,1324,Left,1,3,2,Medium/ Medium,Normal,No,LB,28,"Jun 19, 2017",,2021,5'10,165lbs,42+2,42+2,42+2,46+2,44+2,44+2,44+2,46+2,43+2,43+2,43+2,46+2,43+2,43+2,43+2,46+2,51+2,47+2,47+2,47+2,51+2,51+2,51+2,51+2,51+2,51+2,46,27,45,40,31,50,32,28,29,45,69,55,51,52,67,22,57,55,56,30,50,56,51,40,36,37,49,52,54,15,7,11,9,7,€261K
Lingard,Jesse,18,26,9,,,,,,,,,,,,5,4,,,2,,,,,,,,400,,,0.8,,England,82,83,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€26.5M,€140K,2095,Right,2,3,4,High/ High,Lean,Yes,CAM,7,"Jul 1, 2010",,2021,5'9,137lbs,78+2,78+2,78+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,80+2,76+2,76+2,76+2,80+2,70+2,67+2,67+2,67+2,70+2,67+2,60+2,60+2,60+2,67+2,74,78,64,78,70,83,80,63,66,83,84,82,86,83,86,80,63,87,53,80,73,53,86,82,65,84,65,50,44,14,10,8,13,9,€51M
Mata,Juan,19,31,7,1,,,,,,,,,,,3,4,,,1,,,,,,,,303,90,,,,Spain,83,83,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€24.5M,€160K,1984,Left,3,3,4,Medium/ Medium,Lean,Yes,RM,8,"Jan 25, 2014",,2019,5'7,139lbs,74+3,74+3,74+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,80+3,77+3,77+3,77+3,80+3,61+3,60+3,60+3,60+3,61+3,56+3,46+3,46+3,46+3,56+3,83,78,56,85,71,82,84,86,79,88,69,62,84,85,89,75,70,71,37,72,50,39,83,85,81,87,42,31,21,9,10,14,5,8,€45.3M
Rojo,Marcos,20,29,3,3,,,,,,,,,,,2,,1,,1,,,,,,,,120,181,,0.8,,Argentina,79,79,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€10M,€115K,1998,Left,3,2,3,Medium/ High,Normal,Yes,CB,16,"Aug 20, 2014",,2021,6'2,176lbs,65+3,65+3,65+3,64+3,64+3,64+3,64+3,64+3,64+3,64+3,64+3,66+3,67+3,67+3,67+3,66+3,73+3,74+3,74+3,74+3,73+3,74+3,78+3,78+3,78+3,74+3,74,50,79,72,48,64,67,57,73,67,68,69,68,74,63,80,82,68,77,63,92,77,57,57,64,73,76,81,79,7,8,12,15,10,€18.5M
Greenwood,Mason,21,18,9,5,,,,1,,,,,,,9,,,,,,,,,,,,112,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuanzebe,Axel,22,22,3,,,,,,,,,,,,1,,,,,,,,,,,,180,,0.5,,,England,72,83,Aston Villa,https://cdn.sofifa.org/teams/2/light/2.png,€4.7M,€43K,1745,Right,1,3,3,Medium/ Medium,Normal,Yes,RCB,4,,Manchester United,"Jun 30, 2019",6'1,159lbs,54+2,54+2,54+2,59+2,58+2,58+2,58+2,59+2,60+2,60+2,60+2,62+2,63+2,63+2,63+2,62+2,69+2,69+2,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,52,26,66,69,41,69,45,37,68,70,78,79,68,69,64,46,71,72,75,34,70,68,41,55,50,67,72,74,73,5,8,5,13,12,
Chong,Tahith,23,19,2,,,,,,,,,,,,1,,,,1,,,,,,,,24,,,,,Netherlands,65,85,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€1.1M,€13K,1733,Left,1,4,4,High/ High,Lean,Yes,RW,44,"Jul 1, 2017",,2019,6'0,154lbs,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,64+2,64+2,64+2,64+2,59+2,59+2,59+2,64+2,56+2,53+2,53+2,53+2,56+2,54+2,51+2,51+2,51+2,54+2,66,61,50,62,59,68,67,60,58,61,78,77,76,53,56,60,64,63,66,62,65,42,66,65,44,60,43,46,42,13,7,14,8,11,€3.2M
Garner,James,24,18,1,1,2,,,,,,,,,,1,,2,,,,,,,,,,8,35,,,,England,71,71,Wigan Athletic,https://cdn.sofifa.org/teams/2/light/1917.png,€2.3M,€35K,1872,Right,1,3,3,High/ Medium,Lean,No,ST,41,"Aug 9, 2018",,2020,5'10,161lbs,69+2,69+2,69+2,64+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,64+2,61+2,61+2,61+2,64+2,55+2,56+2,56+2,56+2,55+2,54+2,58+2,58+2,58+2,54+2,49,71,78,60,70,64,49,43,58,65,73,68,74,66,76,69,93,76,76,66,94,36,73,56,69,68,46,49,38,10,15,15,12,15,€4.3M
Gomes,Angel,25,19,1,,,,,,,,,,,,1,,,,,,,,,,,,9,,1,,,England,67,87,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€1.5M,€15K,1722,Right,1,4,4,Medium/ Medium,Lean,Yes,CAM,47,"Jul 1, 2016",,2021,5'3,134lbs,60+2,60+2,60+2,66+2,64+2,64+2,64+2,66+2,66+2,66+2,66+2,65+2,62+2,62+2,62+2,65+2,53+2,51+2,51+2,51+2,53+2,51+2,43+2,43+2,43+2,51+2,61,61,51,67,57,68,65,68,65,68,75,69,83,62,90,61,55,57,32,64,42,37,58,68,66,69,36,38,35,14,15,14,6,14,€4.3M
Baily,Eric,26,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones,Phil,27,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,79,80,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€12M,€110K,1827,Right,2,3,2,Medium/ High,Normal,Yes,CB,4,"Jul 1, 2011",,2019,6'1,157lbs,60+2,60+2,60+2,58+2,58+2,58+2,58+2,58+2,59+2,59+2,59+2,60+2,65+2,65+2,65+2,60+2,70+2,74+2,74+2,74+2,70+2,72+2,78+2,78+2,78+2,72+2,60,44,78,73,49,59,38,35,67,64,54,59,52,77,59,68,82,64,79,59,86,80,42,54,55,68,76,81,82,10,8,6,16,11,€23.1M
Fosu-Mensah,Timothy,28,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,74,84,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,€8M,€53K,1921,Right,1,4,3,Medium/ Medium,Normal,Yes,RB,21,,Manchester United,"Jun 30, 2019",6'1,172lbs,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,71+2,71+2,71+2,71+2,71+2,72+2,74+2,74+2,74+2,72+2,64,57,69,72,55,63,60,34,63,67,79,87,73,68,62,69,76,70,78,60,84,73,61,61,48,67,72,75,76,11,8,8,7,11,
